date,sku_id,units_sold,forecast
2025-11-06,SKU001,6,9.385544074555888
2025-11-07,SKU001,17,8.860588351896638
2025-11-08,SKU001,21,17.886105721754163
2025-11-09,SKU001,18,19.61935071248062
2025-11-10,SKU001,10,10.858128201994443
2025-11-11,SKU001,6,12.802632044717628
2025-11-12,SKU001,12,8.30818261555272
2025-11-13,SKU001,16,9.631439460526197
2025-11-14,SKU001,9,13.871720117471003
2025-11-15,SKU001,15,17.243850184828545
2025-11-16,SKU001,19,19.825359556127818
2025-11-17,SKU001,6,12.391242867944799
2025-11-18,SKU001,13,8.480102862872073
2025-11-19,SKU001,10,10.92922700619303
2025-11-20,SKU001,12,10.634994671439243
2025-11-21,SKU001,8,12.143830374225935
2025-11-22,SKU001,15,18.836685904914418
2025-11-23,SKU001,20,20.431928215818434
2025-11-24,SKU001,14,10.27543274046681
2025-11-25,SKU001,12,12.170351141423682
2025-11-26,SKU001,6,10.666368424433363
2025-11-27,SKU001,10,11.985299661222037
2025-11-28,SKU001,10,9.470498887592003
2025-11-29,SKU001,16,16.993723710579456
2025-11-30,SKU001,16,25.37600382965343
2025-12-01,SKU001,11,12.46169098996398
2025-12-02,SKU001,9,12.197684374944917
2025-12-04,SKU001,7,9.110845701526953
2025-12-05,SKU001,15,11.145237543303589
2025-12-06,SKU001,14,16.442170484620338
2025-12-07,SKU001,24,16.001588304271202
2025-12-08,SKU001,12,14.495669275009236
2025-12-09,SKU001,9,9.312494118054921
2025-12-10,SKU001,14,9.116136165730323
2025-12-11,SKU001,13,12.959237162957834
2025-12-12,SKU001,17,12.102642123398232
2025-12-13,SKU001,10,15.774560177434573
2025-12-14,SKU001,14,16.652617239002762
2025-12-15,SKU001,16,10.99483930548088
2025-12-16,SKU001,12,12.194272261687598
2025-12-17,SKU001,12,11.033899323516536
2025-12-18,SKU001,15,11.822688688949995
2025-12-19,SKU001,8,14.601579683699386
2025-12-20,SKU001,13,12.172913722663663
2025-12-21,SKU001,15,16.49793369800496
2025-12-22,SKU001,7,13.730432029784415
2025-12-23,SKU001,19,10.612769613585511
2025-12-24,SKU001,10,13.498212580944283
2025-12-25,SKU001,10,12.793097153357174
2025-12-26,SKU001,13,11.566131169473039
2025-12-27,SKU001,8,13.206166971275636
2025-12-28,SKU001,9,13.068673274906505
2025-12-29,SKU001,12,10.593626779698264
2025-12-30,SKU001,14,12.648243030683336
2025-12-31,SKU001,11,11.261637319333339
2025-11-06,SKU002,11,7.170189416112537
2025-11-07,SKU002,8,8.911293860550913
2025-11-08,SKU002,15,10.776943950705332
2025-11-09,SKU002,14,14.350564024278219
2025-11-10,SKU002,11,9.8467593318
